"protein","ligand","model_id","energy","cx","cy","cz"
"AncB","2_3_BPG",38,-12.07,-0.220666666666667,-0.704,-0.330666666666667
"AncB","2_3_BPG",39,-11.02,-0.176,-0.677333333333333,-0.330666666666667
"AncB","2_3_BPG",40,-10.46,-0.166666666666667,-0.649333333333333,-0.330666666666667
"AncB","2_3_BPG",41,-10.64,-0.201333333333333,-0.627333333333333,-0.330666666666667
"AncB","2_3_BPG",42,-11.48,-0.193333333333333,-0.691333333333333,-0.330666666666667
"AncB","2_3_BPG",43,-10.41,-0.190666666666667,-0.624666666666667,-0.330666666666667
"AncB","2_3_BPG",44,-10.3,-0.204,-0.602666666666667,-0.330666666666667
"AncB","2_3_BPG",45,-11.09,-0.228,-0.632666666666667,-0.330666666666667
"AncB","2_3_BPG",46,-9.2,-0.283333333333333,-0.449333333333333,-0.330666666666667
"AncB","2_3_BPG",47,-10.92,-0.174,-0.674,-0.330666666666667
"AncB","2_3_BPG",48,-10.74,-0.182666666666667,-0.653333333333333,-0.330666666666667
"AncB","2_3_BPG",49,-11.24,-0.200666666666667,-0.668666666666667,-0.330666666666667
"AncB","2_3_BPG",50,-9.45,-0.256666666666667,-0.492,-0.330666666666667
"AncB","2_3_BPG",51,-11.53,-0.197333333333333,-0.689333333333333,-0.330666666666667
"AncB","2_3_BPG",52,-10.69,-0.144,-0.69,-0.330666666666667
"AncB","2_3_BPG",53,-9.67,-0.26,-0.504,-0.330666666666667
"AncB","2_3_BPG",54,-11.26,-0.202,-0.668666666666667,-0.330666666666667
"AncB","2_3_BPG",55,-11.79,-0.217333333333333,-0.688,-0.330666666666667
"AncB","2_3_BPG",56,-11.16,-0.187333333333333,-0.675333333333333,-0.330666666666667
"AncB","2_3_BPG",57,-9.96,-0.259333333333333,-0.523333333333333,-0.330666666666667
"AncB","2_3_BPG",58,-11.57,-0.196666666666667,-0.694,-0.330666666666667
"AncB","2_3_BPG",59,-10.68,-0.185333333333333,-0.644666666666667,-0.330666666666667
"AncB","2_3_BPG",60,-11.57,-0.216,-0.675333333333333,-0.330666666666667
"AncB","2_3_BPG",61,-11.81,-0.233333333333333,-0.674,-0.330666666666667
"AncB","2_3_BPG",62,-11.13,-0.184666666666667,-0.678666666666667,-0.330666666666667
"AncB","2_3_BPG",63,-10.41,-0.174,-0.637333333333333,-0.330666666666667
"AncB","2_3_BPG",64,-11.65,-0.184666666666667,-0.712,-0.330666666666667
"AncB","2_3_BPG",65,-9.73,-0.26,-0.506666666666667,-0.330666666666667
"AncB","2_3_BPG",66,-11.53,-0.221333333333333,-0.666,-0.330666666666667
"AncB","2_3_BPG",67,-10.91,-0.154,-0.692666666666667,-0.330666666666667
"AncB","2_3_BPG",68,-11.38,-0.224666666666667,-0.651333333333333,-0.330666666666667
"AncB","2_3_BPG",69,-11.19,-0.203333333333333,-0.663333333333333,-0.330666666666667
"AncB","2_3_BPG",70,-11.06,-0.188666666666667,-0.67,-0.330666666666667
"AncB","2_3_BPG",71,-9.59,-0.257333333333333,-0.502,-0.330666666666667
"AncB","2_3_BPG",72,-10.86,-0.18,-0.662666666666667,-0.330666666666667
"AncB","2_3_BPG",73,-10.88,-0.226666666666667,-0.618,-0.330666666666667
"AncB","2_3_BPG",74,-10.19,-0.174666666666667,-0.624,-0.330666666666667
"AncB","2_3_BPG",75,-10.61,-0.196,-0.63,-0.330666666666667
"AncB","2_3_BPG",76,-11.37,-0.212666666666667,-0.664,-0.330666666666667
"AncB","2_3_BPG",77,-11.11,-0.227333333333333,-0.633333333333333,-0.330666666666667
"AncB","2_3_BPG",78,-10.98,-0.204,-0.646666666666667,-0.330666666666667
"AncB","2_3_BPG",79,-11.38,-0.214666666666667,-0.664,-0.330666666666667
"AncB","2_3_BPG",80,-9.44,-0.254666666666667,-0.493333333333333,-0.330666666666667
"AncB","2_3_BPG",81,-10.99,-0.198,-0.654,-0.330666666666667
"AncB","2_3_BPG",82,-10.5,-0.16,-0.661333333333333,-0.330666666666667
"AncB","2_3_BPG",83,-10.76,-0.208,-0.628,-0.330666666666667
"AncB","2_3_BPG",84,-10.9,-0.218,-0.628666666666667,-0.330666666666667
"AncB","2_3_BPG",85,-11.06,-0.143333333333333,-0.714666666666667,-0.330666666666667
"AncB","2_3_BPG",86,-10.09,-0.302,-0.490666666666667,-0.330666666666667
"AncB","2_3_BPG",87,-10.56,-0.163333333333333,-0.661333333333333,-0.330666666666667
"AncB","2_3_BPG",88,-11.81,-0.215333333333333,-0.692,-0.330666666666667
"AncB","2_3_BPG",89,-11.51,-0.224666666666667,-0.663333333333333,-0.330666666666667
"AncB","2_3_BPG",90,-10.65,-0.204666666666667,-0.624,-0.330666666666667
"AncB","2_3_BPG",91,-11.14,-0.189333333333333,-0.674,-0.330666666666667
"AncB","2_3_BPG",92,-11.06,-0.195333333333333,-0.660666666666667,-0.330666666666667
"AncB","2_3_BPG",93,-10.44,-0.202666666666667,-0.611333333333333,-0.330666666666667
"AncB","2_3_BPG",94,-11.02,-0.216666666666667,-0.636666666666667,-0.330666666666667
"AncB","2_3_BPG",95,-10.48,-0.186666666666667,-0.629333333333333,-0.330666666666667
"AncB","2_3_BPG",96,-11.34,-0.192666666666667,-0.682666666666667,-0.330666666666667
"AncB","2_3_BPG",97,-10.42,-0.190666666666667,-0.625333333333333,-0.330666666666667
"AncB","2_3_BPG",98,-10.37,-0.168,-0.642,-0.330666666666667
"AncB","2_3_BPG",99,-10.89,-0.218,-0.626666666666667,-0.330666666666667
"AncB","2_3_BPG",100,-11.65,-0.226666666666667,-0.669333333333333,-0.330666666666667
