protein,ligand,model_id,energy,cx,cy,cz
mut_N102T,heme_Co,30,-2.53,-0.128125,0.0004166666666666666,-0.04170833333333333
mut_N102T,heme_Co,31,-5.29,-0.12729166666666666,-0.057708333333333334,-0.04170833333333333
mut_N102T,heme_Co,32,-3.98,-0.11875000000000001,-0.03916666666666666,-0.04170833333333333
mut_N102T,heme_Co,33,-4.02,-0.07166666666666667,-0.08666666666666667,-0.04170833333333333
mut_N102T,heme_Co,34,-2.81,-0.135,0.0018750000000000001,-0.04170833333333333
mut_N102T,heme_Co,35,-4.36,-0.10541666666666667,-0.05979166666666667,-0.04170833333333333
mut_N102T,heme_Co,36,-4.15,-0.11770833333333333,-0.043125,-0.04170833333333333
mut_N102T,heme_Co,37,-3.69,-0.09020833333333333,-0.060625,-0.04170833333333333
mut_N102T,heme_Co,38,-4.79,-0.15729166666666666,-0.017291666666666667,-0.04170833333333333
mut_N102T,heme_Co,39,-4.13,-0.15854166666666666,-0.0022916666666666667,-0.04170833333333333
mut_N102T,heme_Co,40,-4.08,-0.155,-0.003958333333333334,-0.04170833333333333
mut_N102T,heme_Co,41,-2.69,-0.131875,0.001875,-0.04170833333333333
mut_N102T,heme_Co,42,-4.65,-0.10895833333333334,-0.06208333333333334,-0.04170833333333333
mut_N102T,heme_Co,43,-5.5,-0.14395833333333333,-0.04458333333333333,-0.04170833333333333
mut_N102T,heme_Co,44,-4.59,-0.11229166666666666,-0.057708333333333334,-0.04170833333333333
mut_N102T,heme_Co,45,-3.47,-0.14479166666666668,-0.002291666666666667,-0.04170833333333333
mut_N102T,heme_Co,46,-3.7,-0.113125,-0.03916666666666667,-0.04170833333333333
mut_N102T,heme_Co,47,-7.82,-0.18083333333333335,-0.056666666666666664,-0.04170833333333333
mut_N102T,heme_Co,48,-4.62,-0.12354166666666667,-0.0475,-0.04170833333333333
mut_N102T,heme_Co,49,-4.09,-0.13125,-0.028125,-0.04170833333333333
mut_N102T,heme_Co,50,-4.07,-0.15729166666666666,-0.0029166666666666664,-0.04170833333333333
mut_N102T,heme_Co,51,-3.02,-0.09708333333333334,-0.03979166666666667,-0.04170833333333333
mut_N102T,heme_Co,52,-4.16,-0.144375,-0.015625,-0.04170833333333333
mut_N102T,heme_Co,53,-3.61,-0.12708333333333333,-0.022083333333333333,-0.04170833333333333
mut_N102T,heme_Co,54,-4.88,-0.10041666666666667,-0.07604166666666666,-0.04170833333333333
mut_N102T,heme_Co,55,-2.4,-0.12604166666666666,0.0010416666666666667,-0.04170833333333333
mut_N102T,heme_Co,56,-3.59,-0.12520833333333334,-0.024583333333333336,-0.04170833333333333
mut_N102T,heme_Co,57,-5.9,-0.13708333333333333,-0.06104166666666667,-0.04170833333333333
mut_N102T,heme_Co,58,-4.39,-0.11979166666666667,-0.04625,-0.04170833333333333
mut_N102T,heme_Co,59,-5.42,-0.13895833333333332,-0.049166666666666664,-0.04170833333333333
mut_N102T,heme_Co,60,-4.07,-0.110625,-0.04833333333333334,-0.04170833333333333
mut_N102T,heme_Co,61,-4.35,-0.09125,-0.07291666666666667,-0.04170833333333333
mut_N102T,heme_Co,62,-5.76,-0.13770833333333332,-0.05708333333333333,-0.04170833333333333
mut_N102T,heme_Co,63,-4.92,-0.13041666666666668,-0.04625,-0.04170833333333333
mut_N102T,heme_Co,64,-3.13,-0.14166666666666666,0.00125,-0.04170833333333333
mut_N102T,heme_Co,65,-2.35,-0.12958333333333333,0.005625000000000001,-0.04170833333333333
mut_N102T,heme_Co,66,-4.37,-0.12979166666666667,-0.035625,-0.04170833333333333
